EmployeeID,Name,Age,Department,Salary,YearsAtCompany,PerformanceScore,Satisfaction,ProjectCount,RemoteWork,EmployeeCode,ManagerEmail
103,Employee_103,42.0,Sales,84123.06791341183,12,3,9.318288471428044,6.0,Yes,EMP-3504,manager202@techcorp.com
105,Employee_105,26.0,marketing,54321.1637823493,26,2,5.490740052223893,3.0,No,EMP-7916,manager228@techcorp.com
108,Employee_108,61.0,Sales,110310.61752276553,2,3,6.804126147631203,1.0,No,EMP-7252,manager58@techcorp.com
116,Employee_116,52.0,Sales,48791.03697020952,14,1,5.450690126083671,3.0,No,EMP-6573,manager2@techcorp.com
117,Employee_117,50.0,Sales,96391.46093397313,27,4,5.450690126083671,4.0,No,EMP-2827,manager338@techcorp.com
119,Employee_119,59.0,HR,64789.549234117934,11,4,5.450690126083671,3.0,No,EMP-8123,manager267@techcorp.com
120,Employee_120,56.0,HR,44359.64726184785,25,1,9.08909100763613,2.0,Yes,EMP-3591,manager38@techcorp.com
121,Employee_121,58.0,Engineering,104453.91258270152,3,1,5.450690126083671,3.0,Yes,EMP-8433,manager394@techcorp.com
122,Employee_122,45.0,Marketing,35243.58111825768,25,5,8.310323088913076,0.0,Yes,EMP-1053,manager62@techcorp.com
125,Employee_125,44.0,Sales,52917.84717104026,22,5,5.450690126083671,3.0,Yes,EMP-3927,manager35@techcorp.com
126,Employee_126,29.0,Sales,110310.61752276553,-4,5,5.450690126083671,3.0,Yes,EMP-9317,manager402@techcorp.com
127,Employee_127,51.0,Engineering,84491.68875252287,23,4,4.509097716619726,3.0,No,EMP-2743,manager252@techcorp.com
132,Employee_132,54.0,Sales,26293.781224761187,27,3,5.450690126083671,3.0,No,EMP-7126,manager89@techcorp.com
134,Employee_134,61.0,Sales,59958.324051596326,8,3,1.7888485257518796,2.0,No,EMP-9837,manager274@techcorp.com
138,Employee_138,44.0,HR,21737.87149641949,11,4,5.450690126083671,3.0,No,EMP-9005,manager32@techcorp.com
153,Employee_153,32.0,HR,80621.25827976107,3,4,9.952157486768384,4.0,No,EMP-8787,manager230@techcorp.com
154,Employee_154,44.0,Sales,62170.853520568766,14,1,1.832503941450674,2.0,Yes,EMP-3705,manager236@techcorp.com
157,Employee_157,15.0,Engineering,36547.93486277368,-4,5,7.907489475316349,2.0,Yes,EMP-7932,manager196@techcorp.com
159,Employee_159,56.0,HR,73899.9580155375,16,2,5.428490404441606,6.0,No,EMP-9835,manager13@techcorp.com
163,Employee_163,21.0,Marketing,61928.6743758698,23,5,5.450690126083671,2.0,No,EMP-7118,manager235@techcorp.com
164,Employee_164,47.0,Finance,110310.61752276553,21,3,5.712072215768702,6.0,No,EMP-8177,manager23@techcorp.com
168,Employee_168,62.0,Finance,61625.53685534056,8,4,7.943608557986389,1.0,No,EMP-5061,manager53@techcorp.com
169,Employee_169,44.0,Marketing,91669.30050768188,13,1,6.867107790062145,3.0,Yes,EMP-4681,manager195@techcorp.com
170,Employee_170,44.0,Marketing,53864.39214257259,17,4,5.450690126083671,4.0,No,EMP-2049,manager310@techcorp.com
172,Employee_172,53.0,Engineering,35709.13020547187,16,2,5.450690126083671,2.0,No,EMP-1344,manager105@techcorp.com
178,Employee_178,45.0,Sales,84541.00119940304,10,2,3.4460786447211627,1.0,Yes,EMP-4750,manager308@techcorp.com
180,Employee_180,59.0,HR,64506.85507378135,21,5,6.387355966642037,1.0,Yes,EMP-1514,manager95@techcorp.com
183,Employee_183,45.0,Sales,70074.72092424851,5,2,5.450690126083671,0.0,Yes,EMP-9423,manager140@techcorp.com
185,Employee_185,61.0,Engineering,11430.881021266534,1,5,2.2211948601305136,2.0,No,EMP-5562,manager61@techcorp.com
187,Employee_187,37.0,Marketing,110310.61752276553,28,3,5.450690126083671,0.0,No,EMP-4510,manager382@techcorp.com
189,Employee_189,28.0,Finance,61743.728084128605,20,5,9.969090906600842,3.0,Yes,EMP-3167,manager361@techcorp.com
190,Employee_190,45.0,Sales,74161.78243713353,13,3,7.303886192408535,3.0,No,EMP-8744,manager204@techcorp.com
192,Employee_192,44.0,Sales,27979.614045964958,5,4,5.450690126083671,7.0,Yes,EMP-8749,manager71@techcorp.com
194,Employee_194,18.0,HR,37370.9395869514,29,4,5.767425694975309,0.0,Yes,EMP-4119,manager357@techcorp.com
196,Employee_196,69.0,Marketing,60625.33754497349,29,1,9.316969443201517,4.0,Yes,EMP-2588,manager192@techcorp.com
197,Employee_197,30.0,Marketing,65026.11281612761,17,2,9.776619783779577,5.0,No,EMP-8062,manager57@techcorp.com
198,Employee_198,58.0,Marketing,59968.989883281945,13,2,8.498839209370068,3.0,No,EMP-6804,manager145@techcorp.com
201,Employee_201,23.0,Engineering,51228.25587485409,12,3,6.653075781192146,4.0,No,EMP-8651,manager313@techcorp.com
206,Employee_206,50.0,HR,55272.90525822008,28,3,5.954245993926464,4.0,No,EMP-6559,manager28@techcorp.com
207,Employee_207,68.0,Finance,36241.7438271587,7,3,8.110133574038938,2.0,No,EMP-2790,manager370@techcorp.com
209,Employee_209,61.0,HR,39268.481672874055,12,1,5.450690126083671,2.0,Yes,EMP-4139,manager406@techcorp.com
210,Employee_210,41.0,Sales,86261.3703117743,10,5,4.110624942187614,6.0,No,EMP-4116,manager135@techcorp.com
211,Employee_211,32.0,Finance,61010.716311880125,11,4,5.450690126083671,2.0,No,EMP-9786,manager136@techcorp.com
213,Employee_213,49.0,Engineering,55497.06945299957,16,2,1.690505441675967,3.0,No,EMP-3296,manager269@techcorp.com
215,Employee_215,58.0,Sales,109297.55271715368,10,3,5.450690126083671,3.0,No,EMP-4006,manager109@techcorp.com
217,Employee_217,66.0,HR,46991.739305800125,17,2,1.9570356761340448,4.0,No,EMP-8579,manager362@techcorp.com
220,Employee_220,29.0,Finance,61279.13573821866,11,4,8.853895649584498,3.0,No,EMP-8260,manager373@techcorp.com
226,Employee_226,44.0,Engineering,47069.40957615124,27,4,5.1169875028289935,2.0,Yes,EMP-4872,manager148@techcorp.com
228,Employee_228,66.0,HR,65865.38628267006,23,5,5.098448219325468,3.0,Yes,EMP-7658,manager336@techcorp.com
229,Employee_229,19.0,Sales,65665.98836880314,26,5,5.450690126083671,1.0,No,EMP-8956,manager126@techcorp.com
232,Employee_232,44.0,HR,34350.02757756955,24,5,5.450690126083671,3.0,Yes,EMP-7570,manager133@techcorp.com
233,Employee_233,54.0,Sales,40669.65948130014,11,4,5.450690126083671,5.0,No,EMP-1960,manager207@techcorp.com
234,Employee_234,49.0,Engineering,68343.80928765128,10,2,3.362235266091381,1.0,No,EMP-3697,manager125@techcorp.com
236,Employee_236,44.0,Engineering,110310.61752276553,24,3,2.0008787260439687,2.0,No,EMP-1035,manager371@techcorp.com
238,Employee_238,19.0,Sales,51781.37687401632,18,5,5.450690126083671,3.0,Yes,EMP-5345,manager25@techcorp.com
240,Employee_240,43.0,Sales,45864.86485563645,22,2,7.08059178638419,4.0,Yes,EMP-5673,manager99@techcorp.com
247,Employee_247,44.0,Sales,69990.53970190817,-2,3,1.8873480721774285,4.0,Yes,EMP-1958,manager123@techcorp.com
250,Employee_250,69.0,HR,55820.79025335939,26,5,3.659211321640834,0.0,Yes,EMP-6138,manager163@techcorp.com
251,Employee_251,51.0,Engineering,57429.85038288389,28,2,5.769733069192785,7.0,No,EMP-1936,manager188@techcorp.com
252,Employee_252,23.0,Marketing,79787.38876564262,1,3,7.1055269695271175,3.0,Yes,EMP-1821,manager87@techcorp.com
253,Employee_253,39.0,Engineering,49857.84211734784,16,5,5.450690126083671,4.0,No,EMP-8811,manager44@techcorp.com
255,Employee_255,65.0,Sales,84156.18616922005,10,3,2.548774292073638,3.0,No,EMP-9701,manager277@techcorp.com
259,Employee_259,23.0,Sales,59402.190521954006,1,3,4.343918601878869,1.0,Yes,EMP-2312,manager395@techcorp.com
266,Employee_266,44.0,HR,37627.37143602385,3,4,3.835093351390584,4.0,Yes,EMP-5033,manager171@techcorp.com
267,Employee_267,20.0,HR,40117.87533915615,14,5,8.12268775456278,2.0,No,EMP-1651,manager68@techcorp.com
268,Employee_268,36.0,HR,59381.22005688752,29,3,9.242094155087145,7.0,Yes,EMP-2343,manager212@techcorp.com
270,Employee_270,44.0,Sales,101211.17233232105,10,1,3.7627505398811634,4.0,Yes,EMP-9565,manager356@techcorp.com
271,Employee_271,24.0,Finance,36138.80090179527,6,4,2.756774481146943,1.0,No,EMP-6183,manager295@techcorp.com
272,Employee_272,69.0,Finance,59198.229746868936,16,3,5.450690126083671,3.0,Yes,EMP-5272,manager119@techcorp.com
273,Employee_273,58.0,HR,83364.3544363373,26,2,3.907897314997036,3.0,No,EMP-4346,manager233@techcorp.com
276,Employee_276,56.0,HR,51101.08479750657,17,5,4.547224421043653,3.0,No,EMP-5351,manager141@techcorp.com
278,Employee_278,57.0,Engineering,14472.529828159952,28,5,8.215158638721745,1.0,Yes,EMP-3144,manager76@techcorp.com
279,Employee_279,80.0,Marketing,65697.79785144397,21,2,5.225667988110703,3.0,Yes,EMP-5915,manager221@techcorp.com
280,Employee_280,28.0,Sales,64141.87724465903,11,3,4.803904304100625,3.0,Yes,EMP-8491,manager255@techcorp.com
282,Employee_282,42.0,HR,37583.55268959225,4,4,5.450690126083671,3.0,Yes,EMP-2188,manager172@techcorp.com
283,Employee_283,67.0,Sales,28017.270271059744,9,5,5.450690126083671,3.0,Yes,EMP-1152,manager152@techcorp.com
287,Employee_287,59.0,Engineering,88211.36010010318,27,2,4.076625569482829,2.0,No,EMP-9808,manager365@techcorp.com
292,Employee_292,65.0,Sales,63367.90384950493,9,4,5.450690126083671,3.0,Yes,EMP-6718,manager257@techcorp.com
295,Employee_295,19.0,Finance,61772.93394796025,1,2,5.450690126083671,3.0,Yes,EMP-7054,manager219@techcorp.com
296,Employee_296,18.0,Sales,94442.5721136994,22,4,2.143866161965953,5.0,No,EMP-5669,manager314@techcorp.com
297,Employee_297,65.0,Sales,55420.34277019507,7,5,2.7035528132440847,1.0,No,EMP-3584,manager92@techcorp.com
299,Employee_299,22.0,HR,64739.228314240856,26,5,5.450690126083671,1.0,No,EMP-9900,manager234@techcorp.com
307,Employee_307,33.0,Sales,50971.806847987216,12,4,1.6129812225117028,2.0,Yes,EMP-2891,manager166@techcorp.com
308,Employee_308,20.0,HR,51278.93024700241,12,1,2.9635689663394587,2.0,Yes,EMP-2753,manager147@techcorp.com
309,Employee_309,44.0,HR,65650.87052213587,9,3,5.450690126083671,4.0,Yes,EMP-3546,manager339@techcorp.com
312,Employee_312,41.0,Finance,77591.85175972732,21,2,1.13110439276151,3.0,Yes,EMP-4450,manager137@techcorp.com
317,Employee_317,53.0,Sales,65623.59124538906,18,4,1.1289781528030112,1.0,No,EMP-9004,manager174@techcorp.com
319,Employee_319,44.0,Finance,72833.74874309299,24,1,5.450690126083671,2.0,Yes,EMP-1832,manager251@techcorp.com
321,Employee_321,52.0,Marketing,48332.84055545303,6,1,8.423683907383932,6.0,No,EMP-7939,manager37@techcorp.com
322,Employee_322,65.0, Finance ,60771.83880454066,16,1,8.08967969472133,2.0,Yes,EMP-5533,manager191@techcorp.com
325,Employee_325,42.0,Engineering,11430.881021266534,19,1,5.886983193447424,2.0,No,EMP-6464,manager245@techcorp.com
330,Employee_330,19.0,Engineering,55792.59682877909,16,1,5.450690126083671,3.0,Yes,EMP-8007,manager306@techcorp.com
331,Employee_331,52.0,Engineering,48104.474908886754,6,5,5.450690126083671,3.0,No,EMP-1158,manager116@techcorp.com
333,Employee_333,58.0,Marketing,25245.40489897416,25,4,4.465923425407267,2.0,Yes,EMP-2232,manager114@techcorp.com
334,Employee_334,53.0,Marketing,21042.329733576746,13,2,8.693252009193353,1.0,Yes,EMP-3442,manager250@techcorp.com
338,Employee_338,31.0,Sales,53370.874045507226,19,4,2.7474658214147403,1.0,No,EMP-3426,manager332@techcorp.com
342,Employee_342,25.0,Sales,78260.00440548599,26,2,5.979615756607001,2.0,Yes,EMP-6050,manager241@techcorp.com
343,Employee_343,24.0,Engineering,66082.52341339618,17,5,5.684044637487574,3.0,No,EMP-6974,manager52@techcorp.com
344,Employee_344,20.0,Marketing,65317.96959627696,3,5,9.95123790131734,4.0,No,EMP-1653,manager97@techcorp.com
346,Employee_346,50.0,Engineering,43727.09287880651,17,5,3.322935362444216,1.0,No,EMP-4441,manager272@techcorp.com
348,Employee_348,75.0,Sales,57199.14296115524,25,2,9.257887086883702,4.0,Yes,EMP-2684,manager30@techcorp.com
350,Employee_350,44.0,HR,74688.98066975309,12,2,8.401052003111626,6.0,No,EMP-7658,manager263@techcorp.com
352,Employee_352,63.0,Sales,70058.00809828272,19,4,5.7240998805325445,5.0,Yes,EMP-4878,manager184@techcorp.com
357,Employee_357,15.0,HR,76253.78851287991,8,1,5.064090279450176,6.0,No,EMP-3938,manager374@techcorp.com
359,Employee_359,44.0,Engineering,60609.577005313295,4,4,9.856283628512172,4.0,Yes,EMP-7745,manager264@techcorp.com
360,Employee_360,44.0,Engineering,30161.277070572505,25,3,8.168359503966226,3.0,No,EMP-5065,manager296@techcorp.com
361,Employee_361,51.0,Finance,69888.86828167237,0,5,7.810822812222355,7.0,Yes,EMP-5371,manager390@techcorp.com
362,Employee_362,38.0,Finance,74472.2723835556,16,3,7.125023456011913,2.0,No,EMP-3608,manager358@techcorp.com
365,Employee_365,45.0,HR,22016.47224169065,23,1,5.450690126083671,1.0,Yes,EMP-1634,manager45@techcorp.com
366,Employee_366,64.0,Engineering,61568.58798037285,12,3,7.559076000309184,2.0,Yes,EMP-8711,manager303@techcorp.com
369,Employee_369,65.0,Marketing,66573.04320746419,3,5,1.8202657550020975,3.0,No,EMP-8541,manager232@techcorp.com
370,Employee_370,36.0,Sales,78004.57317830471,4,2,5.450690126083671,7.0,Yes,EMP-6728,manager381@techcorp.com
372,Employee_372,52.0,Sales,69561.79993254913,23,1,2.528853349640287,3.0,No,EMP-4728,manager67@techcorp.com
374,Employee_374,34.0,Sales,59607.53028379051,20,4,3.980318402477348,3.0,Yes,EMP-1387,manager129@techcorp.com
376,Employee_376,45.0,Marketing,41465.73795015637,11,5,4.723108110867344,4.0,Yes,EMP-7528,manager265@techcorp.com
383,Employee_383,54.0,Sales,49707.16901563706,14,3,5.948777605279584,4.0,Yes,EMP-7548,manager220@techcorp.com
386,Employee_386,66.0,sales,89096.21289983485,25,4,5.413676672669618,4.0,No,EMP-1452,manager350@techcorp.com
389,Employee_389,52.0,Finance,50916.20883376968,20,3,5.450690126083671,2.0,Yes,EMP-3925,manager223@techcorp.com
391,Employee_391,69.0,Engineering,43656.290667820096,3,2,6.289273164587914,3.0,Yes,EMP-1626,manager249@techcorp.com
394,Employee_394,40.0,Sales,66774.41005739271,19,5,8.034693022479225,6.0,Yes,EMP-6663,manager299@techcorp.com
395,Employee_395,50.0,Engineering,26023.01600392709,14,4,5.450690126083671,3.0,No,EMP-6139,manager24@techcorp.com
401,Employee_401,20.0,Marketing,63622.330204221216,8,5,9.654542263415491,1.0,No,EMP-5173,manager131@techcorp.com
403,Employee_403,63.0,Engineering,104285.03046924552,18,2,5.450690126083671,6.0,No,EMP-8144,manager276@techcorp.com
405,Employee_405,67.0,Finance,62528.980456469246,6,1,7.657146079867974,6.0,No,EMP-9518,manager297@techcorp.com
407,Employee_407,64.0,HR,97226.3119447279,27,5,1.1500823214085525,4.0,No,EMP-4228,manager275@techcorp.com
409,Employee_409,40.0,Sales,92618.5836252588,24,4,8.294213954939195,3.0,Yes,EMP-8066,manager3@techcorp.com
411,Employee_411,44.0,Sales,47504.20906131895,3,2,5.450690126083671,1.0,No,EMP-6409,manager205@techcorp.com
414,Employee_414,43.0,Sales,86248.17243485263,2,2,1.6117596983746334,4.0,Yes,EMP-5920,manager65@techcorp.com
419,Employee_419,60.0,HR,11430.881021266534,23,3,5.136801376471636,2.0,No,EMP-7592,manager396@techcorp.com
421,Employee_421,56.0,HR,51364.08422719588,7,4,6.567492601845451,0.0,No,EMP-3085,manager384@techcorp.com
423,Employee_423,59.0,HR,43134.78791412515,3,1,1.5325936467718764,4.0,Yes,EMP-7888,manager167@techcorp.com
427,Employee_427,44.0,Sales,63796.956724249285,23,5,5.450690126083671,3.0,Yes,EMP-7653,manager405@techcorp.com
431,Employee_431,53.0,Sales,53007.75626444392,1,1,2.148131571142338,0.0,Yes,EMP-5700,manager344@techcorp.com
432,Employee_432,62.0,Sales,65233.25945392958,24,2,4.681766337713886,2.0,No,EMP-4443,manager340@techcorp.com
433,Employee_433,37.0,Sales,82948.18660383212,16,3,5.450690126083671,3.0,No,EMP-8043,manager378@techcorp.com
437,Employee_437,44.0,HR,34933.03613756228,19,5,5.450690126083671,3.0,Yes,EMP-8244,manager56@techcorp.com
442,Employee_442,32.0,Engineering,75428.77983831648,20,3,2.7893265484366268,2.0,Yes,EMP-2389,manager29@techcorp.com
444,Employee_444,51.0,Marketing,110310.61752276553,8,2,3.021421960673964,6.0,No,EMP-9445,manager5@techcorp.com
445,Employee_445,19.0,Marketing,80659.27894305612,-5,5,5.450690126083671,1.0,No,EMP-6491,manager377@techcorp.com
446,Employee_446,49.0,HR,56101.09583142083,28,1,8.447488674721061,2.0,Yes,EMP-2530,manager199@techcorp.com
447,Employee_447,40.0,Sales,110310.61752276553,24,4,3.2908648862949503,2.0,Yes,EMP-4848,manager273@techcorp.com
448,Employee_448,39.0,Marketing,68035.42565117148,-5,4,5.450690126083671,2.0,Yes,EMP-6085,manager49@techcorp.com
449,Employee_449,68.0,HR,56157.7789455712,21,3,5.450690126083671,3.0,No,EMP-4680,manager101@techcorp.com
455,Employee_455,59.0,Finance,11430.881021266534,6,3,5.618575740538323,4.0,Yes,EMP-8784,manager107@techcorp.com
458,Employee_458,60.0,Sales,75562.18372252035,20,5,5.450690126083671,3.0,Yes,EMP-7790,manager237@techcorp.com
460,Employee_460,44.0,Marketing,38042.75283301553,19,1,1.5483584954864795,2.0,No,EMP-7291,manager385@techcorp.com
461,Employee_461,25.0,HR,67906.18924916968,2,5,7.2461567269516785,5.0,Yes,EMP-9099,manager316@techcorp.com
462,Employee_462,61.0,Finance,48531.24356915524,18,3,2.644760493886923,3.0,No,EMP-7547,manager318@techcorp.com
465,Employee_465,56.0,Sales,40472.494574332566,3,4,9.172135804374768,2.0,No,EMP-1090,manager218@techcorp.com
471,Employee_471,47.0,Sales,53923.38304027568,14,3,6.1646553817752405,5.0,No,EMP-8611,manager329@techcorp.com
474,Employee_474,57.0,Engineering,59719.60923484823,12,3,7.42972691323448,3.0,Yes,EMP-2988,manager151@techcorp.com
475,Employee_475,69.0,sales,62032.8857537902,22,4,4.2548238535694,2.0,Yes,EMP-8478,manager359@techcorp.com
476,Employee_476,33.0,Engineering,37379.47217016114,25,3,2.12837814310486,6.0,Yes,EMP-3184,manager367@techcorp.com
480,Employee_480,47.0,Sales,61746.62115830818,4,1,5.450690126083671,1.0,Yes,EMP-8251,manager8@techcorp.com
481,Employee_481,36.0,HR,74048.1313830213,24,3,2.09525776054005,4.0,No,EMP-9270,manager246@techcorp.com
482,Employee_482,34.0,Engineering,11430.881021266534,15,2,6.292842738449023,1.0,Yes,EMP-7991,manager72@techcorp.com
488,Employee_488,44.0,Engineering,71341.11034776206,15,5,3.3016933139347038,3.0,Yes,EMP-5246,manager364@techcorp.com
489,Employee_489,26.0,HR,33336.853786926906,26,5,3.946788628601032,1.0,No,EMP-5050,manager160@techcorp.com
493,Employee_493,64.0,Marketing,43831.60350953226,6,5,4.462593188567005,2.0,No,EMP-4919,manager268@techcorp.com
498,Employee_498,57.0,Finance,51008.47923549438,21,5,8.48386707703899,3.0,Yes,EMP-4841,manager181@techcorp.com
499,Employee_499,44.0,HR,80350.02458168363,20,2,2.595938979015455,0.0,No,EMP-5451,manager354@techcorp.com
503,Employee_503,22.0,Marketing,67589.64114331015,26,4,6.210798818987307,5.0,Yes,EMP-2320,manager369@techcorp.com
509,Employee_509,33.0,Finance,51032.39561892235,29,5,5.450690126083671,3.0,Yes,EMP-4505,manager399@techcorp.com
511,Employee_511,80.0,Marketing,95397.24841353932,16,2,3.3939792378339217,3.0,No,EMP-7797,manager189@techcorp.com
514,Employee_514,31.0,Engineering,61475.40215773772,21,5,5.450690126083671,3.0,No,EMP-9890,manager138@techcorp.com
515,Employee_515,45.0,Engineering,87944.52845117525,24,3,5.450690126083671,2.0,Yes,EMP-8633,manager407@techcorp.com
516,Employee_516,22.0,HR,110310.61752276553,16,2,8.269460379833315,2.0,No,EMP-7812,manager224@techcorp.com
517,Employee_517,64.0,Finance,47055.18724023907,3,3,8.973225959476824,0.0,Yes,EMP-2020,manager244@techcorp.com
520,Employee_520,63.0,HR,72049.54418878964,-2,1,5.450690126083671,2.0,Yes,EMP-7381,manager258@techcorp.com
522,Employee_522,22.0,Marketing,49791.278951460656,26,1,2.196352384371844,3.0,Yes,EMP-7232,manager302@techcorp.com
526,Employee_526,43.0,Finance,61899.875027126094,16,1,2.238667609585252,5.0,No,EMP-5892,manager254@techcorp.com
528,Employee_528,38.0,Sales,70228.31001859908,24,2,5.450690126083671,3.0,No,EMP-7865,manager200@techcorp.com
530,Employee_530,16.0,Sales,59361.63010713276,3,2,2.8851019255855994,2.0,No,EMP-9947,manager391@techcorp.com
531,Employee_531,50.0,Sales,58779.13149060008,16,5,4.746365026191166,2.0,Yes,EMP-4613,manager327@techcorp.com
534,Employee_534,44.0,Finance,77625.69562865538,1,5,1.362600511610879,6.0,Yes,EMP-5471,manager47@techcorp.com
538,Employee_538,51.0,Sales,70108.48186433398,26,1,6.58334126911349,4.0,No,EMP-7371,manager401@techcorp.com
542,Employee_542,36.0,Finance,64013.03607911374,22,5,5.450690126083671,1.0,No,EMP-8657,manager210@techcorp.com
543,Employee_543,49.0,Sales,67251.4163005297,25,4,8.97659394810146,4.0,No,EMP-3091,manager292@techcorp.com
549,Employee_549,44.0,Marketing,35617.707773615664,1,4,9.686886746911616,4.0,Yes,EMP-8022,manager355@techcorp.com
553,Employee_553,45.0,Finance,76676.14678318729,8,1,5.450690126083671,3.0,Yes,EMP-1823,manager34@techcorp.com
556,Employee_556,37.0,HR,69668.50976229207,5,5,3.819398289225493,4.0,Yes,EMP-6363,manager85@techcorp.com
558,Employee_558,44.0,HR,49685.65860133996,19,1,5.450690126083671,3.0,Yes,EMP-8449,manager0@techcorp.com
559,Employee_559,67.0,Finance,65959.64472754904,20,3,1.0613322811011532,2.0,No,EMP-6355,manager110@techcorp.com
561,Employee_561,50.0,Sales,56009.426533411824,16,1,9.29362052716676,6.0,No,EMP-7211,manager398@techcorp.com
564,Employee_564,60.0,HR,64073.44169786196,15,3,8.155522158455181,3.0,No,EMP-5133,manager6@techcorp.com
566,Employee_566,44.0,Finance,64824.76275310696,12,3,7.886744503789528,0.0,Yes,EMP-8705,manager197@techcorp.com
567,Employee_567,20.0,finance,70425.90581191513,22,1,2.288452220300737,1.0,No,EMP-1317,manager18@techcorp.com
568,Employee_568,18.0,HR,60116.211170849,0,1,6.919445325483582,4.0,Yes,EMP-9837,manager217@techcorp.com
570,Employee_570,57.0,Engineering,59099.463543422666,2,5,1.230128191807612,7.0,Yes,EMP-6733,manager231@techcorp.com
572,Employee_572,60.0,Engineering,88646.84062435004,14,5,9.129232945856176,3.0,No,EMP-2124,manager124@techcorp.com
