EmployeeID,Name,Age,Department,Salary,YearsAtCompany,PerformanceScore,Satisfaction,ProjectCount,RemoteWork,EmployeeCode,Company,ManagerEmail
21,Employee_21,61.0,Engineering,51021.58344780408,20,5,6.868837556934856,1.0,Yes,EMP-4611,TechCorp,manager294@techcorp.com
22,Employee_22,47.0,Marketing,61349.970717500175,9,1,,1.0,Yes,EMP-8359,TechCorp,manager256@techcorp.com
23,Employee_23,55.0,Engineering,63951.319803447645,13,5,8.12317186800567,1.0,No,EMP-5557,TechCorp,
24,Employee_24,19.0,Sales,68984.56869839491,12,2,6.422228476331096,2.0,No,EMP-1106,TechCorp,manager164@techcorp.com
25,Employee_25,,Marketing,38466.78983644668,4,5,,2.0,Yes,EMP-3615,TechCorp,manager284@techcorp.com
26,Employee_26,,HR,73368.1592188473,5,4,1.549064287048554,4.0,No,EMP-7924,TechCorp,
27,Employee_27,29.0,Engineering,250000.0,23,2,3.5904816896644527,2.0,No,EMP-6574,TechCorp,manager134@techcorp.com
28,Employee_28,39.0,Sales,92622.51704563743,-3,1,1.839443021003529,3.0,No,EMP-5552,TechCorp,
29,Employee_29,61.0,Finance,44567.433551662434,21,1,,4.0,No,EMP-3547,TechCorp,
30,Employee_30,42.0,,65932.5663935235,16,3,2.2157213160318463,4.0,No,EMP-4527,TechCorp,
31,Employee_31,66.0,Engineering,80102.85146556035,3,2,2.3659786886599186,4.0,No,EMP-6514,TechCorp,
32,Employee_32,44.0,Engineering,54952.399130711005,13,3,9.006189564974429,5.0,No,EMP-2674,TechCorp,manager11@techcorp.com
33,Employee_33,59.0,HR,500000.0,9,2,9.49535455128812,3.0,No,EMP-2519,TechCorp,
34,Employee_34,45.0,HR,88703.63098380103,2,2,,6.0,Yes,EMP-7224,TechCorp,
35,Employee_35,33.0,Finance,71288.05975786533,24,4,,2.0,Yes,EMP-2584,TechCorp,
36,Employee_36,32.0,Finance,67111.01259348706,2,3,1.0121164386090733,4.0,No,EMP-6881,TechCorp,manager383@techcorp.com
37,Employee_37,64.0,Sales,26304.292103590757,14,4,4.402906928087057,3.0,No,EMP-6635,TechCorp,
38,Employee_38,68.0,Sales,41325.554945195545,5,2,2.290558330098033,2.0,No,EMP-5333,TechCorp,manager159@techcorp.com
39,Employee_39,61.0,,80938.40255300024,16,1,,5.0,No,EMP-1711,TechCorp,
40,Employee_40,69.0,Finance,71399.00610682764,11,2,5.176600204640542,2.0,Yes,EMP-8527,TechCorp,
41,Employee_41,20.0,Marketing,74429.32547570148,21,4,9.487557076662744,1.0,Yes,EMP-9785,TechCorp,
42,Employee_42,54.0,HR,72707.93864429794,19,3,3.9143761741218825,2.0,Yes,EMP-3045,TechCorp,manager165@techcorp.com
43,Employee_43,68.0,Sales,85795.13056750748,23,3,6.950266105858269,2.0,Yes,EMP-7201,TechCorp,
44,Employee_44,24.0,HR,54772.001500897546,28,4,6.870118178191967,6.0,No,EMP-2291,TechCorp,
45,Employee_45,38.0,HR,62409.99917578602,10,3,3.25972093298651,2.0,No,EMP-5803,TechCorp,
46,Employee_46,26.0,Finance,39426.51333741832,24,5,6.853827239414779,3.0,No,EMP-6925,TechCorp,
47,Employee_47,56.0,,34439.54833127248,3,1,2.9110057685820214,3.0,Yes,EMP-4150,TechCorp,manager400@techcorp.com
48,Employee_48,35.0,Engineering,27125.185688238846,25,1,2.0980667221920015,4.0,No,EMP-2139,TechCorp,
49,Employee_49,21.0,,42296.730020003044,27,1,7.312449570037211,2.0,No,EMP-1750,TechCorp,manager351@techcorp.com
50,Employee_50,42.0,Marketing,91051.23630979285,25,3,2.0209673539352506,2.0,Yes,EMP-4733,TechCorp,
51,Employee_51,31.0,HR,28945.45864367925,5,3,9.972182967304198,3.0,Yes,EMP-5741,TechCorp,manager259@techcorp.com
52,Employee_52,67.0,Marketing,53929.280288456044,0,2,2.651071610352064,4.0,Yes,EMP-2307,TechCorp,
53,Employee_53,26.0,Sales,34137.09352707684,19,2,,5.0,Yes,EMP-4814,TechCorp,
54,Employee_54,43.0,HR,47980.52073993278,22,1,,6.0,Yes,EMP-2654,TechCorp,
55,Employee_55,19.0,Sales,63393.87584704039,27,5,2.137477801651004,0.0,No,EMP-7227,TechCorp,manager4@techcorp.com
56,Employee_56,37.0,,45997.68253589983,15,2,1.2505951681967207,3.0,No,EMP-5554,TechCorp,manager108@techcorp.com
57,Employee_57,45.0,,81793.29730032923,14,2,,2.0,Yes,EMP-8428,TechCorp,
58,Employee_58,,,90679.56241699134,16,3,8.260818074102135,5.0,No,EMP-6977,TechCorp,manager287@techcorp.com
59,Employee_59,24.0,,15018.085438881215,7,5,8.578140953560697,4.0,No,EMP-3664,TechCorp,
60,Employee_60,61.0,Finance,46340.15339297755,27,1,5.34442125769241,1.0,No,EMP-7065,TechCorp,
61,Employee_61,25.0,Marketing,10000.0,25,2,,1.0,No,EMP-6820,TechCorp,
62,Employee_62,64.0,Finance,82522.34052030761,11,5,7.055624201396903,2.0,Yes,EMP-4432,TechCorp,
63,Employee_63,52.0,,50915.11449693475,26,5,7.518290747492199,2.0,No,EMP-5374,TechCorp,
64,Employee_64,31.0,Marketing,59601.292095083794,21,1,5.433391046996327,2.0,No,EMP-2169,TechCorp,manager301@techcorp.com
65,Employee_65,34.0,HR,36865.11549896102,20,5,6.700705662179144,3.0,No,EMP-3803,TechCorp,manager243@techcorp.com
66,Employee_66,53.0,Marketing,29344.08295475309,9,5,8.249733222184513,0.0,Yes,EMP-9751,TechCorp,
67,Employee_67,67.0,Sales,88907.69379165868,26,5,,0.0,No,EMP-5010,TechCorp,
68,Employee_68,57.0,Marketing,23518.602522141264,14,2,8.253810107808253,3.0,Yes,EMP-3677,TechCorp,
69,Employee_69,21.0,Sales,106572.38016843132,29,1,6.3281515851015655,100.0,Yes,EMP-8573,TechCorp,
70,Employee_70,,marketing,74503.02798763484,8,5,,100.0,Yes,EMP-7216,TechCorp,
71,Employee_71,23.0,Sales,73599.46151033512,1,5,1.2221574150212615,4.0,Yes,EMP-5422,TechCorp,
72,Employee_72,59.0,Engineering,71509.3733498886,4,2,4.264782403592369,1.0,No,EMP-4598,TechCorp,manager203@techcorp.com
73,Employee_73,21.0,Finance,54946.28623998072,5,1,5.920266954667059,4.0,Yes,EMP-6313,TechCorp,
74,Employee_74,46.0,HR,67841.69059401739,6,3,8.558383169831394,6.0,Yes,EMP-1916,TechCorp,manager323@techcorp.com
75,Employee_75,35.0,Marketing,56222.066244310496,20,2,,,Yes,EMP-4752,TechCorp,
76,Employee_76,43.0,Finance,71061.4655288096,24,1,,1.0,Yes,EMP-1525,TechCorp,manager330@techcorp.com
77,Employee_77,61.0,HR,59326.26946182568,0,5,8.767081414605043,4.0,Yes,EMP-6168,TechCorp,
78,Employee_78,51.0,,40993.036337965306,22,1,2.356187383007504,6.0,No,EMP-7572,TechCorp,
79,Employee_79,27.0,Sales,42588.54767476488,25,1,8.664348873737971,2.0,Yes,EMP-5386,TechCorp,manager51@techcorp.com
80,Employee_80,53.0,Engineering,40314.55249414993,6,1,,,No,EMP-2084,TechCorp,manager70@techcorp.com
81,Employee_81,31.0,Engineering,79418.01463868619,19,3,7.541549479434138,2.0,No,EMP-4456,TechCorp,
82,Employee_82,,,47651.06775081804,24,1,8.062927136424893,1.0,Yes,EMP-6155,TechCorp,manager305@techcorp.com
83,Employee_83,65.0,Engineering,21757.936778302792,29,3,9.949737408029861,1.0,No,EMP-4483,TechCorp,
84,Employee_84,32.0,Marketing,67936.7733169761,11,5,6.449331254733508,1.0,No,EMP-9179,TechCorp,
85,Employee_85,,Engineering,90290.35125179162,15,3,3.770977438146245,1.0,No,EMP-7482,TechCorp,manager211@techcorp.com
86,Employee_86,31.0,Finance,75461.66378355054,15,5,8.5377775066845,2.0,Yes,EMP-8517,TechCorp,
87,Employee_87,40.0,Engineering,47933.52869556575,10,5,6.530371997604681,2.0,Yes,EMP-3340,TechCorp,manager325@techcorp.com
88,Employee_88,,Marketing,28263.765688098218,20,3,,,Yes,EMP-5339,TechCorp,
89,Employee_89,,,57314.637932849786,3,2,,1.0,Yes,EMP-3287,TechCorp,
90,Employee_90,33.0,Finance,56815.5224380658,12,4,7.80700842624598,3.0,Yes,EMP-5040,TechCorp,
91,Employee_91,62.0,Sales,40616.00779372468,6,1,1.7350054827408663,3.0,Yes,EMP-9830,TechCorp,
92,Employee_92,35.0,Sales,71020.74604485075,3,4,9.318583637151951,1.0,Yes,EMP-5304,TechCorp,
93,Employee_93,64.0,Sales,96932.53001660945,14,1,,3.0,No,EMP-8019,TechCorp,
94,Employee_94,41.0,HR,10000.0,18,1,,4.0,No,EMP-7543,TechCorp,
95,Employee_95,43.0,,63209.524139976915,8,5,,,Yes,EMP-6930,TechCorp,manager392@techcorp.com
96,Employee_96,,Sales,41255.439023323546,10,1,1.3822291833087985,3.0,No,EMP-4593,TechCorp,
97,Employee_97,62.0,Finance,87948.29406120745,7,1,,,Yes,EMP-3266,TechCorp,
98,Employee_98,58.0,Marketing,58497.116663799665,0,3,9.124349594008205,2.0,Yes,EMP-9348,TechCorp,
99,Employee_99,,Marketing,48420.734896116584,22,4,8.535367064246579,1.0,Yes,EMP-9085,TechCorp,
100,Employee_100,,Engineering,61273.76787303232,24,3,,,No,EMP-2489,TechCorp,manager333@techcorp.com
101,Employee_101,62.0,,69439.22666493218,23,1,2.1364402339695867,3.0,Yes,EMP-1771,TechCorp,
102,Employee_102,18.0,HR,62784.30817289806,-4,5,8.320910340918378,2.0,Yes,EMP-2796,TechCorp,manager100@techcorp.com
103,Employee_103,42.0,Sales,84123.06791341183,12,3,9.318288471428044,6.0,Yes,EMP-3504,TechCorp,manager202@techcorp.com
104,Employee_104,24.0,Engineering,67679.43105093724,21,3,5.146028468501402,0.0,Yes,EMP-3621,TechCorp,
105,Employee_105,26.0,marketing,54321.1637823493,26,2,5.490740052223893,3.0,No,EMP-7916,TechCorp,manager228@techcorp.com
106,Employee_106,75.0,,68023.8443265378,3,1,3.864358372471533,4.0,Yes,EMP-2040,TechCorp,
107,Employee_107,18.0,HR,69992.74202251915,7,5,9.048386064307726,5.0,No,EMP-7304,TechCorp,
108,Employee_108,61.0,,250000.0,2,3,6.804126147631203,1.0,No,EMP-7252,TechCorp,manager58@techcorp.com
109,Employee_109,25.0,Marketing,82988.3945652743,28,3,3.5942641945063163,2.0,Yes,EMP-8668,TechCorp,
110,Employee_110,41.0,Finance,53981.91961277282,8,5,,2.0,Yes,EMP-9669,TechCorp,
111,Employee_111,28.0,HR,54493.5355298914,28,1,9.020800657572421,2.0,No,EMP-5119,TechCorp,
112,Employee_112,,Sales,75027.51974151892,1,2,1.1227062151523932,4.0,No,EMP-1188,TechCorp,
113,Employee_113,34.0,,74943.30448519162,1,3,3.9045391545397456,3.0,No,EMP-2876,TechCorp,
114,Employee_114,25.0,Marketing,45983.366422678286,27,2,,,No,EMP-9797,TechCorp,
115,Employee_115,52.0,HR,250000.0,12,4,2.333957158893922,1.0,Yes,EMP-5371,TechCorp,
116,Employee_116,52.0,,48791.03697020952,14,1,,,No,EMP-6573,TechCorp,manager2@techcorp.com
117,Employee_117,50.0,,96391.46093397311,27,4,,4.0,No,EMP-2827,TechCorp,manager338@techcorp.com
118,Employee_118,,Finance,43436.120374684724,22,4,9.049639497836566,3.0,No,EMP-5808,TechCorp,
119,Employee_119,59.0,HR,64789.549234117934,11,4,,,No,EMP-8123,TechCorp,manager267@techcorp.com
120,Employee_120,56.0,HR,44359.64726184785,25,1,9.08909100763613,2.0,Yes,EMP-3591,TechCorp,manager38@techcorp.com
121,Employee_121,58.0,Engineering,104453.91258270151,3,1,,3.0,Yes,EMP-8433,TechCorp,manager394@techcorp.com
122,Employee_122,45.0,Marketing,35243.58111825768,25,5,8.310323088913076,0.0,Yes,EMP-1053,TechCorp,manager62@techcorp.com
123,Employee_123,24.0,Sales,70487.25494505822,7,2,4.456383745519904,3.0,No,EMP-5315,TechCorp,
124,Employee_124,26.0,Finance,45301.79171044401,8,2,,,No,EMP-9201,TechCorp,
125,Employee_125,,,52917.84717104026,22,5,,3.0,Yes,EMP-3927,TechCorp,manager35@techcorp.com
126,Employee_126,29.0,Sales,500000.0,-4,5,,,Yes,EMP-9317,TechCorp,manager402@techcorp.com
127,Employee_127,51.0,Engineering,84491.68875252287,23,4,4.509097716619726,3.0,No,EMP-2743,TechCorp,manager252@techcorp.com
128,Employee_128,50.0,HR,92467.93124598092,19,5,,,Yes,EMP-5889,TechCorp,
129,Employee_129,,,29261.04079947359,17,3,,4.0,No,EMP-9317,TechCorp,
130,Employee_130,40.0,Sales,65355.02448728924,10,2,,0.0,No,EMP-4258,TechCorp,
131,Employee_131,41.0,Sales,89189.87206767043,14,5,,4.0,No,EMP-3504,TechCorp,
132,Employee_132,54.0,Sales,26293.781224761187,27,3,,,No,EMP-7126,TechCorp,manager89@techcorp.com
133,Employee_133,52.0,Sales,66287.66988109694,21,3,,,No,EMP-3646,TechCorp,
134,Employee_134,61.0,Sales,59958.324051596326,8,3,1.7888485257518796,2.0,No,EMP-9837,TechCorp,manager274@techcorp.com
135,Employee_135,,Engineering,68290.83628759577,16,3,1.5923058462151882,4.0,Yes,EMP-9689,TechCorp,
136,Employee_136,39.0,Finance,44553.919493470494,26,4,9.021863857242689,3.0,Yes,EMP-1009,TechCorp,
137,Employee_137,,,31287.6234357312,25,3,5.174328247549119,3.0,Yes,EMP-6310,TechCorp,
138,Employee_138,,HR,21737.871496419495,11,4,,3.0,No,EMP-9005,TechCorp,manager32@techcorp.com
139,Employee_139,,HR,250000.0,6,4,5.288151441154596,7.0,Yes,EMP-1319,TechCorp,
140,Employee_140,80.0,HR,82080.98272966707,9,3,,,No,EMP-2832,TechCorp,
141,Employee_141,54.0,Engineering,500000.0,24,2,,2.0,No,EMP-6947,TechCorp,
142,Employee_142,64.0,Marketing,49317.03300623807,25,3,8.736007572261432,0.0,No,EMP-6038,TechCorp,
143,Employee_143,,Finance,27539.082130685092,24,3,,3.0,No,EMP-4923,TechCorp,
144,Employee_144,75.0,Sales,71266.90925010048,9,3,7.251883955291579,4.0,Yes,EMP-1949,TechCorp,
145,Employee_145,18.0,Marketing,37984.4143432663,26,2,4.282036086109029,1.0,Yes,EMP-4946,TechCorp,
146,Employee_146,22.0,HR,45774.02750478924,12,1,7.6465529065946685,1.0,Yes,EMP-2290,TechCorp,
147,Employee_147,43.0,Marketing,48268.718408745626,-2,1,6.999553763914351,6.0,No,EMP-2403,TechCorp,
148,Employee_148,31.0,Finance,56049.29548606064,10,4,2.076057979768508,8.0,Yes,EMP-8962,TechCorp,
149,Employee_149,16.0,Sales,44819.19105582703,12,4,6.153785678040261,1.0,Yes,EMP-2133,TechCorp,
150,Employee_150,,Sales,60669.175419846055,20,2,3.310691466787822,2.0,Yes,EMP-9727,TechCorp,
151,Employee_151,26.0,Finance,47563.63398987218,7,5,,4.0,No,EMP-3060,TechCorp,
152,Employee_152,32.0,Finance,74027.46129678446,7,1,4.833439376202455,4.0,Yes,EMP-3103,TechCorp,
153,Employee_153,32.0,HR,80621.25827976107,3,4,9.952157486768385,4.0,No,EMP-8787,TechCorp,manager230@techcorp.com
154,Employee_154,,,62170.853520568766,14,1,1.832503941450674,2.0,Yes,EMP-3705,TechCorp,manager236@techcorp.com
155,Employee_155,,,69252.52670762205,27,2,8.023130764661428,5.0,No,EMP-5342,TechCorp,
156,Employee_156,30.0,Engineering,102357.11899251779,10,2,7.063315601879408,5.0,Yes,EMP-9645,TechCorp,
157,Employee_157,15.0,Engineering,36547.934862773676,-4,5,7.907489475316349,2.0,Yes,EMP-7932,TechCorp,manager196@techcorp.com
158,Employee_158,49.0,Finance,35330.63797439789,0,5,,,Yes,EMP-4470,TechCorp,
159,Employee_159,56.0,HR,73899.9580155375,16,2,5.428490404441606,6.0,No,EMP-9835,TechCorp,manager13@techcorp.com
160,Employee_160,66.0,Engineering,98930.85675029531,14,4,,7.0,Yes,EMP-4295,TechCorp,
161,Employee_161,69.0,Sales,54790.02876122555,19,1,3.092871984587695,2.0,Yes,EMP-6107,TechCorp,
162,Employee_162,49.0,Finance,94536.67684437521,5,3,3.034298771097869,3.0,No,EMP-7537,TechCorp,
163,Employee_163,21.0,Marketing,61928.6743758698,23,5,,2.0,No,EMP-7118,TechCorp,manager235@techcorp.com
164,Employee_164,47.0,Finance,250000.0,21,3,5.712072215768702,6.0,No,EMP-8177,TechCorp,manager23@techcorp.com
165,Employee_165,54.0,Marketing,40186.15222724593,27,4,3.5403622337163956,1.0,No,EMP-9479,TechCorp,
166,Employee_166,40.0,Finance,72588.27169773575,24,5,3.682680854723405,4.0,Yes,EMP-8397,TechCorp,
167,Employee_167,,Finance,41700.818644346065,14,3,3.5006064688590897,1.0,Yes,EMP-2982,TechCorp,
168,Employee_168,62.0,Finance,61625.53685534056,8,4,7.943608557986389,1.0,No,EMP-5061,TechCorp,manager53@techcorp.com
169,Employee_169,,Marketing,91669.30050768188,13,1,6.867107790062145,3.0,Yes,EMP-4681,TechCorp,manager195@techcorp.com
170,Employee_170,,Marketing,53864.39214257259,17,4,,4.0,No,EMP-2049,TechCorp,manager310@techcorp.com
171,Employee_171,46.0,Finance,86280.18949287798,25,5,,5.0,Yes,EMP-6539,TechCorp,
172,Employee_172,53.0,Engineering,35709.13020547187,16,2,,2.0,No,EMP-1344,TechCorp,manager105@techcorp.com
173,Employee_173,30.0,HR,500000.0,17,1,,4.0,Yes,EMP-4770,TechCorp,
174,Employee_174,49.0,HR,500000.0,-5,3,1.432830793708319,3.0,No,EMP-4608,TechCorp,
175,Employee_175,24.0,HR,61459.935119467154,19,5,3.6609853534445724,3.0,No,EMP-1117,TechCorp,
176,Employee_176,68.0,Marketing,75601.56359433166,19,2,9.392901304172058,1.0,Yes,EMP-2163,TechCorp,
177,Employee_177,75.0,Marketing,61503.74175212372,8,4,5.708917494737874,4.0,Yes,EMP-1964,TechCorp,
178,Employee_178,45.0,,84541.00119940304,10,2,3.4460786447211627,1.0,Yes,EMP-4750,TechCorp,manager308@techcorp.com
179,Employee_179,19.0,,45016.4151874174,23,5,4.592501150599176,4.0,No,EMP-2104,TechCorp,
180,Employee_180,59.0,HR,64506.85507378135,21,5,6.387355966642037,1.0,Yes,EMP-1514,TechCorp,manager95@techcorp.com
181,Employee_181,,Finance,49450.613527722875,0,2,,1.0,No,EMP-6413,TechCorp,
182,Employee_182,23.0,Marketing,250000.0,17,4,2.385275588046145,2.0,Yes,EMP-2160,TechCorp,
183,Employee_183,45.0,,70074.72092424851,5,2,,0.0,Yes,EMP-9423,TechCorp,manager140@techcorp.com
184,Employee_184,,Engineering,71647.91919968126,26,5,5.9029500428451,1.0,No,EMP-4899,TechCorp,
185,Employee_185,61.0,Engineering,10000.0,1,5,2.2211948601305136,2.0,No,EMP-5562,TechCorp,manager61@techcorp.com
186,Employee_186,61.0,HR,42205.077964268625,14,3,9.042717280115204,2.0,Yes,EMP-8953,TechCorp,
187,Employee_187,37.0,Marketing,250000.0,28,3,,0.0,No,EMP-4510,TechCorp,manager382@techcorp.com
188,Employee_188,47.0,Engineering,55222.38504266805,25,1,9.169618898597614,3.0,No,EMP-9834,TechCorp,
189,Employee_189,28.0,Finance,61743.728084128605,20,5,9.969090906600842,3.0,Yes,EMP-3167,TechCorp,manager361@techcorp.com
190,Employee_190,45.0,,74161.78243713353,13,3,7.303886192408535,3.0,No,EMP-8744,TechCorp,manager204@techcorp.com
191,Employee_191,42.0,Sales,43038.02601321536,4,2,7.934024989665908,1.0,Yes,EMP-4981,TechCorp,
192,Employee_192,,Sales,27979.614045964954,5,4,,100.0,Yes,EMP-8749,TechCorp,manager71@techcorp.com
193,Employee_193,75.0,Marketing,103114.8632641358,5,2,9.474191674605404,6.0,No,EMP-7669,TechCorp,
194,Employee_194,18.0,HR,37370.9395869514,29,4,5.767425694975309,0.0,Yes,EMP-4119,TechCorp,manager357@techcorp.com
195,Employee_195,44.0,Marketing,76726.47445991103,21,3,,2.0,No,EMP-2545,TechCorp,
196,Employee_196,69.0,Marketing,60625.33754497349,29,1,9.316969443201515,4.0,Yes,EMP-2588,TechCorp,manager192@techcorp.com
197,Employee_197,30.0,Marketing,65026.11281612761,17,2,9.776619783779575,5.0,No,EMP-8062,TechCorp,manager57@techcorp.com
198,Employee_198,58.0,Marketing,59968.989883281945,13,2,8.498839209370068,3.0,No,EMP-6804,TechCorp,manager145@techcorp.com
199,Employee_199,20.0,,52303.16236105749,9,2,3.7271575628382703,2.0,No,EMP-7939,TechCorp,
200,Employee_200,56.0,Finance,69279.44565846918,13,4,9.698927648968741,2.0,No,EMP-7735,TechCorp,
201,Employee_201,23.0,Engineering,51228.25587485409,12,3,6.653075781192146,4.0,No,EMP-8651,TechCorp,manager313@techcorp.com
202,Employee_202,25.0,Sales,83326.05494473579,29,2,9.375782287167638,4.0,Yes,EMP-1887,TechCorp,
203,Employee_203,,Marketing,71368.8201251231,2,2,7.084945232329167,1.0,Yes,EMP-2612,TechCorp,
204,Employee_204,26.0,,71991.88226562987,29,1,3.7651506566294843,5.0,No,EMP-1993,TechCorp,
205,Employee_205,54.0,Sales,49857.5387988682,5,1,4.330220717285344,1.0,Yes,EMP-7596,TechCorp,
206,Employee_206,50.0,HR,55272.90525822008,28,3,5.954245993926464,4.0,No,EMP-6559,TechCorp,manager28@techcorp.com
207,Employee_207,68.0,Finance,36241.7438271587,7,3,8.110133574038938,2.0,No,EMP-2790,TechCorp,manager370@techcorp.com
208,Employee_208,,,52939.67886548876,11,5,3.8618429620630144,5.0,Yes,EMP-5073,TechCorp,
209,Employee_209,61.0,HR,39268.481672874055,12,1,,2.0,Yes,EMP-4139,TechCorp,manager406@techcorp.com
210,Employee_210,41.0,Sales,86261.3703117743,10,5,4.110624942187614,6.0,No,EMP-4116,TechCorp,manager135@techcorp.com
211,Employee_211,32.0,Finance,61010.716311880125,11,4,,2.0,No,EMP-9786,TechCorp,manager136@techcorp.com
212,Employee_212,49.0,Finance,63409.94470080861,0,5,5.200552843911554,1.0,No,EMP-8350,TechCorp,
213,Employee_213,49.0,Engineering,55497.069452999574,16,2,1.690505441675967,3.0,No,EMP-3296,TechCorp,manager269@techcorp.com
214,Employee_214,41.0,Marketing,63951.578441028156,15,5,2.4944726933338273,4.0,No,EMP-7912,TechCorp,
215,Employee_215,58.0,Sales,109297.55271715367,10,3,,3.0,No,EMP-4006,TechCorp,manager109@techcorp.com
216,Employee_216,,Sales,53997.19431215017,12,4,5.493726514128927,5.0,Yes,EMP-5563,TechCorp,
217,Employee_217,66.0,HR,46991.739305800125,17,2,1.9570356761340446,4.0,No,EMP-8579,TechCorp,manager362@techcorp.com
218,Employee_218,66.0,Finance,70593.86265810885,10,5,2.027259723786689,3.0,No,EMP-5092,TechCorp,
219,Employee_219,69.0,Sales,9485.627327950235,27,4,9.469434340345394,1.0,Yes,EMP-2235,TechCorp,
220,Employee_220,29.0,Finance,61279.13573821866,11,4,8.853895649584498,3.0,No,EMP-8260,TechCorp,manager373@techcorp.com
221,Employee_221,56.0,Sales,52565.74193414198,5,2,5.068779371302294,1.0,No,EMP-2604,TechCorp,
222,Employee_222,19.0,Engineering,250000.0,8,5,,1.0,Yes,EMP-1828,TechCorp,
223,Employee_223,,Marketing,70155.15340623,15,4,1.001678753535968,4.0,No,EMP-9856,TechCorp,
224,Employee_224,66.0,Sales,61079.76836891586,3,4,6.525815106460544,3.0,Yes,EMP-1241,TechCorp,
225,Employee_225,,Finance,23951.82185011566,2,1,6.5478535963468305,3.0,No,EMP-2528,TechCorp,
226,Employee_226,,Engineering,47069.40957615124,27,4,5.1169875028289935,2.0,Yes,EMP-4872,TechCorp,manager148@techcorp.com
227,Employee_227,34.0,Sales,2234.5758961455067,15,1,4.572531756408636,6.0,Yes,EMP-3724,TechCorp,
228,Employee_228,66.0,HR,65865.38628267006,23,5,5.098448219325468,3.0,Yes,EMP-7658,TechCorp,manager336@techcorp.com
229,Employee_229,19.0,,65665.98836880314,26,5,,1.0,No,EMP-8956,TechCorp,manager126@techcorp.com
230,Employee_230,19.0,Sales,44134.36212332653,25,5,7.574432297340694,4.0,No,EMP-8886,TechCorp,
231,Employee_231,45.0,Engineering,70802.25423366253,29,3,2.2181989147595567,0.0,Yes,EMP-4502,TechCorp,
232,Employee_232,,HR,34350.02757756955,24,5,,,Yes,EMP-7570,TechCorp,manager133@techcorp.com
233,Employee_233,54.0,,40669.65948130014,11,4,,5.0,No,EMP-1960,TechCorp,manager207@techcorp.com
234,Employee_234,49.0,Engineering,68343.80928765128,10,2,3.362235266091381,1.0,No,EMP-3697,TechCorp,manager125@techcorp.com
235,Employee_235,,HR,46226.66490074113,4,1,,1.0,No,EMP-7209,TechCorp,
236,Employee_236,,Engineering,500000.0,24,3,2.0008787260439687,2.0,No,EMP-1035,TechCorp,manager371@techcorp.com
237,Employee_237,36.0,HR,48727.01945147315,17,5,,4.0,No,EMP-7396,TechCorp,
238,Employee_238,19.0,,51781.37687401632,18,5,,,Yes,EMP-5345,TechCorp,manager25@techcorp.com
239,Employee_239,,HR,52655.51568090014,22,2,2.462841887218371,4.0,No,EMP-8454,TechCorp,
240,Employee_240,43.0,,45864.86485563645,22,2,7.08059178638419,4.0,Yes,EMP-5673,TechCorp,manager99@techcorp.com
